strain	strain_name	date	country	host
MN746031	None	2018-06-26	Iran	Homo sapiens
MN746032	None	2018-07-04	Iran	Homo sapiens
LC515201	SYMAV-D12/Gabon/2016	2016-12-13	Gabon	Homo sapiens
MT181522	pHM175	2019-09-XX	United Kingdom	None
MN832785	None	2018-11-09	Ireland	Homo sapiens
MK829707	None	2013-XX-XX	USA	None
MH577308	USA/2017/V17S07429	2017-XX-XX	USA	Homo sapiens
MH577309	USA/2017/V17S07364	2017-XX-XX	USA	Homo sapiens
MH577310	USA/2017/V17S07250	2017-XX-XX	USA	Homo sapiens
MH577311	USA/2018/V18S00294	2018-XX-XX	USA	Homo sapiens
MH577312	USA/2017/V17S07512	2017-XX-XX	USA	Homo sapiens
MH577313	USA/2017/V17S06806	2017-XX-XX	USA	Homo sapiens
MH577314	USA/2018/V18S00348	2018-XX-XX	USA	Homo sapiens
MG546668	None	2017-06-22	Iran	Homo sapiens
KY003229	None	2011-XX-XX	South Africa	None
KX228694	None	2014-XX-XX	Egypt	None
KX343014	HM175	2016-09-22	None	None
KX343015	HM175	2016-09-22	None	None
KX343016	HM175	2016-09-22	None	None
KX343017	HM175	2016-09-22	None	None
KX343018	HM175	2016-09-22	None	None
KX035096	None	2013-01-01	USA	Homo sapiens
LC128713	Banglane2000	2000-08-01	Thailand	Homo sapiens
KP879216	None	2017-06-21	USA	None
KP879217	None	2015-05-26	USA	None
KF724017	None	2013-10-XX	Spain	None
KF724018	None	2013-10-XX	Spain	None
KF724019	None	2013-10-XX	Spain	None
KF724020	None	2013-10-XX	Spain	None
KF724021	None	2013-10-XX	Spain	None
KF724022	None	2013-10-XX	Spain	None
KF724023	None	2013-10-XX	Spain	None
KF569906	DH01	2012-04-18	China	Homo sapiens
EF406358	H2K5	2014-12-09	None	None
EF406359	H2K10	2014-12-09	None	None
EF406360	H2K15	2014-12-09	None	None
EF406361	H2K20	2014-12-09	None	None
EF406362	H2K25	2014-12-09	None	None
EF406363	H2K30	2014-12-09	None	None
DQ646426	IVA	2006-06-26	Russia	None
AF314208	L-A-1	2001-01-11	None	None
AF268396	HAF-203	2000-06-29	Brazil	None
M59808	None	1993-08-02	None	None
M59809	None	1993-08-02	None	None
M59810	None	1993-08-02	None	None
M20273	None	1993-08-02	None	None
M16632	None	1993-08-02	None	None
M14707	None	1993-08-02	None	None
